       PID          Process Name
         1          init
         2          init
         3          init
         4          init
         6          init
         9          init
        10          init
        11          init
        12          init
        13          init
        14          init
        15          init
        16          init
        17          init
        18          init
        19          init
        20          init
        22          init
        23          init
        24          init
        25          init
        26          init
        28          init
        29          init
        30          init
        31          init
        32          init
        34          init
        35          init
        36          init
        37          init
        38          init
        40          init
        41          init
        42          init
        43          init
        44          init
        46          init
        47          init
        48          init
        49          init
        50          init
        52          init
        53          init
        54          init
        55          init
        56          init
        58          init
        59          init
        60          init
        61          init
        62          init
        63          init
        64          init
        65          init
        66          init
        67          init
        68          init
       115          init
       116          init
       117          init
       118          init
       119          init
       120          init
       121          init
       122          init
       123          init
       125          init
       127          init
       130          init
       131          init
       133          init
       134          init
       135          init
       139          init
       140          init
       142          init
       148          init
       152          init
       155          init
       163          init
       185          init
       220          init
       222          init
       223          init
       224          init
       231          init
       253          init
       255          init
       256          init
       260          init
       296          systemd-journald
       298          systemd-journald
       305          systemd-journald
       328          systemd-udevd
       331          systemd-udevd
       339          systemd-udevd
       347          systemd-udevd
       353          systemd-udevd
       354          systemd-udevd
       355          systemd-udevd
       356          systemd-udevd
       376          systemd-udevd
       394          systemd-udevd
       395          systemd-udevd
       397          systemd-udevd
       400          systemd-udevd
       403          systemd-udevd
       414          systemd-udevd
       416          systemd-udevd
       441          systemd-udevd
       451          systemd-udevd
       460          systemd-udevd
       462          systemd-udevd
       463          systemd-udevd
       481          systemd-udevd
       500          systemd-udevd
       517          systemd-udevd
       521          systemd-udevd
       522          systemd-udevd
       523          systemd-udevd
       524          systemd-udevd
       557          systemd-resolved
       558          systemd-timesyncd
       586          accounts-daemon
       587          acpid
       589          avahi-daemon:
       590          bluetoothd
       592          cron
       597          dbus-daemon
       598          NetworkManager
       604          irqbalance
       606          python3
       611          polkitd
       616          rsyslogd
       622          snapd
       627          switcheroo-control
       628          systemd-logind
       630          thermald
       631          udisksd
       632          wpa_supplicant
       639          avahi-daemon:
       714          colord
       725          ModemManager
       726          boltd
       729          containerd
       733          anydesk
       755          gdm3
       798          python3
       916          upowerd
       939          rtkit-daemon
      1433          dockerd
      1436          starter
      1438          whoopsie
      1449          kerneloops
      1453          kerneloops
      1457          charon
      1493          bpfilter_umh
      1695          gdm-session-worker
      1706          systemd
      1707          (sd-pam)
      1712          pulseaudio
      1714          tracker-miner-fs
